% Filename : LM_Channel_0180_mean_vel_fluc_prof.dat 
% 
% Description : Profiles of the mean velocity and pressure and the variance and covariance of velocity components 
%               This entails the columns of the following files of the original database:
%                 - LM_Channel_0180_mean_prof.dat 
%                 - LM_Channel_0180_vel_fluc_prof.dat 
% 
% Total number of data points  : 96
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mnlee@sandia.gov) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 1024 
%  Grid (wall-normal)      ny = 192 
%  Grid (spanwise)         nz = 512 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 3.50000e-04 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 6.37309e-02 
%  Re_tau              Re_tau =  182.088 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% Files noted above merged on 11/06/2024
% 
% 
% 
% Remark: 
% 
%      y/delta : Grid point in wall-normal direction, Normalized by channel half width 
%      y^+     : Grid point in wall-normal direction 
%      U       : Mean profile of streamwise velocity 
%    dU/dy     : Derivative of U in wall-normal direction 
%      W       : Mean profile of spanwise velocity 
%      P       : Mean profile of pressure 
%      u'u'    : Variance of u 
%      v'v'    : Variance of v 
%      w'w'    : Variance of w 
%      u'v'    : Covariance of u and v 
%      u'w'    : Covariance of u and w 
%      v'w'    : Covariance of v and w 
%       k      : Turbulent kinetic energy, k = 0.5*(u'u' + v'v' + w'w')
% 
% *   Estimated standard deviations of datasets in this file are in the file: LM_Channel_0180_vel_fluc_stdev.dat 
% 
% **  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% *** u'w' and v'w' should be zero due to (statistical) symmetries in the flow. 
%     These are reported here none-the-less as an indicator of the quality of the statistics.  
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                   U                      dU/dy                      W                        P                       u'u'                     v'v'                     w'w'                     u'v'                     u'w'                     v'w'                       k            
%----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1.110223024625157e-16    2.021587241307348e-14    0.000000000000000e+00    1.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00  1.589292246274055e-34    0.000000000000000e+00    2.862807365832878e-34    0.000000000000000e+00   -2.346126519412066e-37    0.000000000000000e+00    2.226049806053466e-34
5.791461380333374e-05    1.054557883895367e-02    1.054527346420741e-02    9.999420842626848e-01    1.358014635953491e-06   -9.921444054028660e-13  1.523861648546785e-05    9.921444054028654e-13    4.519133463213460e-06   -8.884807685445174e-10   -2.353870084643020e-09    6.249864583458657e-13    9.878875470412859e-06
2.141030191135096e-04    3.898567424427084e-02    3.898150028900437e-02    9.997858487893706e-01    5.020418663319229e-06   -1.838486077114268e-10  2.081908423874390e-04    1.838486077114267e-10    6.134422860142615e-05   -4.496609804658740e-08   -3.271892499782144e-08    3.164324390813204e-11    1.347676274187364e-04
5.088966186284072e-04    9.266416643727822e-02    9.264057361745806e-02    9.994904794541939e-01    1.193304322157038e-05   -5.780802944012519e-09  1.175434591648848e-03    5.780802944012517e-09    3.421723482814728e-04   -6.057419558524183e-07   -1.906320296351673e-07    4.261359083325508e-10    7.588063603666324e-04
9.825876412230539e-04    1.789178025409327e-01    1.788297016728879e-01    9.990129620892997e-01    2.304140695828294e-05   -7.844260359894237e-08  4.377914073883620e-03    7.844260359894234e-08    1.249924060188902e-03   -4.382441321219609e-06   -7.446764801303498e-07    3.072725008112352e-09    2.813958288338060e-03
1.675417754204322e-03    3.050741230036028e-01    3.048168764012739e-01    9.983025007030224e-01    3.929225734732732e-05   -6.403494903955971e-07  1.271217376573405e-02    6.403494903955967e-07    3.528295617021075e-03   -2.188401568386097e-05   -2.305540482839069e-06    1.517994375992155e-08    8.120554866122759e-03
2.627566689856309e-03    4.784493906250172e-01    4.778105936207722e-01    9.972867212073092e-01    6.163868085817256e-05   -3.693668151353024e-06  3.121804571121235e-02    3.693668151353023e-06    8.336862062457271e-03   -8.522579081274767e-05   -6.127648493614113e-06    5.767547268476103e-08    1.977930072091049e-02
3.879140889489485e-03    7.063465227694476e-01    7.049276244031449e-01    9.958423731455345e-01    9.105348708172002e-05   -1.648997817997888e-05  6.791548146777156e-02    1.648997817997887e-05    1.724981352970700e-02   -2.774244412460000e-04   -1.460204784039972e-05    1.790915521566326e-07    4.259089248782927e-02
5.412247554401284e-03    9.855074485118559e-01    9.826535702095622e-01    9.938229042255892e-01    1.271901290993056e-04   -5.795691676026456e-05  1.319161704504517e-01    5.795691676026455e-05    3.154024581224655e-02   -7.627739716400079e-04   -3.122343781061860e-05    4.561648532081648e-07    8.175718658972926e-02
7.226453384460596e-03    1.315853268928577e+00    1.310498745174586e+00    9.909335835295503e-01    1.701795753179297e-04   -1.687048527313747e-04  2.344859287599063e-01    1.687048527313747e-04    5.228386821898569e-02   -1.836236682518294e-03   -6.115172579754754e-05    9.821533423186591e-07    1.434692509158117e-01
