k,E,E_min,E_max
1.0,0.6839409207378182,0.506767579003,0.86122764844
2.0,0.23997365977306068,0.185641264575,0.292211302386
3.0,0.12567932331321213,0.104854730056,0.151849533135
4.0,0.10635015447549091,0.0920598667278,0.118222679467
5.0,0.07320186839700606,0.0665424399192,0.0802730428025
6.0,0.05072734487812121,0.0441554967157,0.0557656595774
7.0,0.04144885617438787,0.0372456596912,0.0448054329164
8.0,0.0344607416473394,0.0313519644307,0.0375261763512
9.0,0.03485492044295151,0.0325201414008,0.0381486680798
10.0,0.027036289048748482,0.0245275457648,0.0295370739795
11.0,0.02354322884782727,0.0222418571772,0.0260578298637
12.0,0.022314921794127272,0.0210081712078,0.0236436263872
13.0,0.020781916913536366,0.0192973691875,0.022355748375
14.0,0.018647007307318178,0.0169431447655,0.0200717936503
15.0,0.01580856038410909,0.014611020241,0.0170479384525
16.0,0.016379963525357578,0.0153006018314,0.0176067896702
17.0,0.0148171921443,0.0135666327552,0.016067393906
18.0,0.01365392732799091,0.0125195294153,0.0148556115455
19.0,0.01188867783448788,0.0110653857407,0.0126931118277
20.0,0.011488222903839395,0.0103467173893,0.0124646599967
21.0,0.011039242591812123,0.0101061648096,0.0118729859052
22.0,0.00974384129456424,0.00905811576997,0.0105330881371
23.0,0.009128018042932728,0.0082543341999,0.00984186918343
24.0,0.008430981829865151,0.00768436631153,0.00912888458813
25.0,0.008205609541437576,0.00746924305593,0.00884579283631
26.0,0.0075237558396233336,0.00691792780264,0.00814154573458
27.0,0.006837625983417275,0.00626970122717,0.00745869924996
28.0,0.006539106733320909,0.00600407983115,0.00710667191396
29.0,0.005997337492967274,0.00547003093292,0.00648789736132
30.0,0.005604602454086969,0.00509681958094,0.00614002991832
31.0,0.005282106679680606,0.00480488747094,0.0057811356315
32.0,0.00481651044628303,0.00437552240195,0.0052399810246
33.0,0.0046421880970363635,0.00420277579399,0.00502063909321
34.0,0.004368435618120302,0.00392817633676,0.00481969215278
35.0,0.003966772585484242,0.00353976694339,0.00434886084907
36.0,0.0038095203605233332,0.00336579751157,0.00415336415374
37.0,0.0035103078972709093,0.00311684968902,0.00383108135776
38.0,0.003318686306901819,0.00295032796601,0.00362906711052
39.0,0.003042337367424849,0.00269755462514,0.00332472199103
40.0,0.0029204990260160617,0.00256971842133,0.00318375135242
41.0,0.0027694290212757575,0.00241454203094,0.00302748176879
42.0,0.0025294268464415154,0.00220698812209,0.00277999631261
43.0,0.002418765555773334,0.0020885841781,0.00265886987024
44.0,0.0022252855080021213,0.00193531175666,0.0024688628591
45.0,0.0021569831562993943,0.00183763873165,0.00238617975646
46.0,0.0019497279179533334,0.00167428488936,0.00215526958572
47.0,0.0018532011142024243,0.00158084720729,0.00205272531679
48.0,0.0017670758040260607,0.00150176318727,0.00195748142878
49.0,0.0016633563781972727,0.00142988833303,0.00183617644742
50.0,0.0015668899578803025,0.00133329330887,0.00175329328094
51.0,0.0014410817170993943,0.00122580308736,0.00159299316838
52.0,0.001384771952429697,0.00116534897572,0.00155182832576
53.0,0.0012984157142084847,0.00109241495847,0.00143497217414
54.0,0.001213031044588485,0.00101124068083,0.00134830270039
55.0,0.0011432655681992427,0.000954624956905,0.00127736834795
56.0,0.0010840708977805451,0.000896947697299,0.00121619071769
57.0,0.0010396629581795756,0.000860662765964,0.00115759979018
58.0,0.000960987887938,0.000798382192085,0.00107437537889
59.0,0.0009077420756746666,0.000753195726675,0.00101436832676
60.0,0.0008711622016386667,0.000718958320334,0.000978995270074
61.0,0.0008109320015281819,0.000665920697668,0.000903995426116
62.0,0.0007721085975271213,0.000631843506242,0.000867227033006
63.0,0.0007109710085147879,0.000583815734092,0.000797566974752
64.0,0.0006874548983166061,0.000562568504215,0.000777175186734
65.0,0.0006605463481313032,0.000540043438728,0.000740162251438
66.0,0.0006090784601520001,0.000497853434387,0.000684686683108
67.0,0.0005841958205405151,0.000475858197757,0.000658247032707
68.0,0.0005431799737288789,0.000439161769285,0.000608547676386
69.0,0.0005271835025992727,0.000427824791043,0.000593524226305
70.0,0.0004889098897596667,0.000393157297707,0.000551588968128
71.0,0.00046033023331512114,0.000369058086834,0.000521152964935
72.0,0.00044566653344557574,0.000355825800239,0.000503858004391
73.0,0.00041645577974287875,0.000332457208876,0.000470568855843
74.0,0.00040169486752560606,0.000321224878891,0.000453549075879
75.0,0.00037230880164096977,0.000298228168062,0.000420858174691
76.0,0.00035712717559590907,0.000282782233915,0.000404158173353
77.0,0.0003399003766874848,0.000270439210618,0.000384638278942
78.0,0.00031803426558084846,0.000252251434996,0.000362776267594
79.0,0.00030439233742166673,0.000242926640537,0.000345449197154
80.0,0.000287573745453606,0.000227199647881,0.000325706799649
81.0,0.0002771686203711515,0.000218032902553,0.000314167122297
82.0,0.0002612061684549394,0.000205197145542,0.000298450008424
83.0,0.0002474710487319091,0.000194318059834,0.000281907661741
84.0,0.00023399077606624247,0.000182648938328,0.00026752763982
85.0,0.00022534448670460613,0.000176153241103,0.000257706321931
86.0,0.0002129710934093637,0.000167382441068,0.000243213102812
87.0,0.0002005658842520303,0.000156949450429,0.000229503037922
88.0,0.00019192018101272726,0.000150011002876,0.000220282733183
89.0,0.0001829475585791212,0.000141892303922,0.000209265854083
90.0,0.00017540716638539397,0.000136772516701,0.000201484789886
91.0,0.00016494682820681814,0.000128043587789,0.000189451692179
92.0,0.00015725592524124243,0.000122196985521,0.000180175573452
93.0,0.00014977432451948486,0.000115650004706,0.000172011126016
94.0,0.00014237959745800002,0.000110713283401,0.000163207578486
95.0,0.00013461208205366664,0.000104580639243,0.000153885736521
96.0,0.00012981223363223935,9.97552010069e-05,0.000148838583371
97.0,0.0001241169344150394,9.58953180853e-05,0.000142620127501
98.0,0.0001193608708669788,9.17364892353e-05,0.00013750096391
99.0,0.00011128144635135457,8.53607421028e-05,0.000127817719292
100.0,0.0001071656744296,8.21215358977e-05,0.000122765523824
101.0,0.0001020378490207212,7.7773887201e-05,0.000117924235924
102.0,9.76194231906303e-05,7.474959687e-05,0.000112536515299
103.0,9.316482102211819e-05,7.09712444198e-05,0.000107368471229
104.0,8.724792933181516e-05,6.69383794642e-05,0.000100754493507
105.0,8.57028089353e-05,6.53671128282e-05,9.89342882763e-05
106.0,8.03654174677818e-05,6.10674040376e-05,9.31235836367e-05
107.0,7.693655275102726e-05,5.86378085519e-05,8.89650552599e-05
108.0,7.348026913812426e-05,5.57701138221e-05,8.51763297895e-05
109.0,7.081364248538183e-05,5.37968171912e-05,8.19999415668e-05
110.0,6.699451333513635e-05,5.07503563744e-05,7.76286506096e-05
111.0,6.337193314038183e-05,4.81493821956e-05,7.3522867318e-05
112.0,6.12738796695909e-05,4.64910534072e-05,7.13168237707e-05
113.0,5.846793993586667e-05,4.42653546504e-05,6.7868156729e-05
114.0,5.599073512554244e-05,4.24024881439e-05,6.51728161424e-05
115.0,5.2765584685124244e-05,3.98930756382e-05,6.13643689933e-05
116.0,5.097280755012424e-05,3.84906176614e-05,5.93614999857e-05
117.0,4.867355268255759e-05,3.67567413599e-05,5.64372450633e-05
118.0,4.587731699343333e-05,3.45717186552e-05,5.33993974371e-05
119.0,4.3816336729909095e-05,3.31039766858e-05,5.08756478478e-05
120.0,4.224263007339394e-05,3.17570847512e-05,4.93115134228e-05
121.0,4.018742400276365e-05,3.01161753751e-05,4.69656077537e-05
122.0,3.825602029016062e-05,2.86965713929e-05,4.47519647998e-05
123.0,3.650753847320606e-05,2.73359564551e-05,4.26561644158e-05
124.0,3.465801211119697e-05,2.60363076733e-05,4.05400851773e-05
125.0,3.3517670495739406e-05,2.50254596694e-05,3.91653428647e-05
126.0,3.139864619179697e-05,2.35354457607e-05,3.67337148464e-05
127.0,3.010779586515757e-05,2.25371921023e-05,3.52861025408e-05
128.0,2.8779782836921206e-05,2.14999783234e-05,3.3819714358e-05
129.0,2.772538201809394e-05,2.07272084099e-05,3.2472611765e-05
130.0,2.6264313825075757e-05,1.96296311492e-05,3.08795106799e-05
131.0,2.4852499919066666e-05,1.83947120311e-05,2.91446518689e-05
132.0,2.4150167927396975e-05,1.80347366373e-05,2.83406890167e-05
133.0,2.2778578402469703e-05,1.69174355012e-05,2.68245520312e-05
134.0,2.1897451502784847e-05,1.62638692695e-05,2.58112184441e-05
135.0,2.0706432889242425e-05,1.53320310773e-05,2.42897687452e-05
136.0,1.9986188745757577e-05,1.48255460899e-05,2.35866040101e-05
137.0,1.92087144194697e-05,1.42223081912e-05,2.26980451937e-05
138.0,1.8133468382127273e-05,1.34068621759e-05,2.14065819752e-05
139.0,1.731277928142121e-05,1.27884939117e-05,2.04731292472e-05
140.0,1.6681365192781826e-05,1.23059297526e-05,1.97190576274e-05
141.0,1.5916348562145454e-05,1.17067352612e-05,1.88191111784e-05
142.0,1.530778559739394e-05,1.12543999419e-05,1.81131776245e-05
143.0,1.4430403080242424e-05,1.05906111507e-05,1.70706046794e-05
144.0,1.3952593600666665e-05,1.02857299223e-05,1.65489266879e-05
145.0,1.339545133784212e-05,9.83632425419e-06,1.59003770534e-05
146.0,1.2834383426538185e-05,9.43682896176e-06,1.51605000606e-05
147.0,1.2260967311353338e-05,8.97323511856e-06,1.45788539622e-05
148.0,1.1758268963486367e-05,8.60682592574e-06,1.39856600157e-05
149.0,1.129974597863394e-05,8.27906109791e-06,1.34203155523e-05
150.0,1.0787648002468486e-05,7.90449120087e-06,1.28161397375e-05
151.0,1.0295699533759092e-05,7.54706716778e-06,1.22159115264e-05
152.0,9.9122878296697e-06,7.23882788815e-06,1.18460797777e-05
153.0,9.537921752221818e-06,6.94142284924e-06,1.13346077562e-05
154.0,9.194812637557881e-06,6.71991765194e-06,1.09800315591e-05
155.0,8.731107136828185e-06,6.35151027709e-06,1.04154145352e-05
156.0,8.453549657860609e-06,6.13714333867e-06,1.00810289815e-05
157.0,8.14986950805212e-06,5.93065629065e-06,9.72517026122e-06
158.0,7.796996066409093e-06,5.6596605974e-06,9.30613313162e-06
159.0,7.48393845199909e-06,5.43301495865e-06,8.95961531768e-06
160.0,7.251523431104242e-06,5.25269959415e-06,8.66335496257e-06
161.0,7.038481354436365e-06,5.11377218823e-06,8.43260412075e-06
162.0,6.689180307036061e-06,4.84071539375e-06,7.99983927284e-06
163.0,6.5152929942130295e-06,4.71443073367e-06,7.8248759201e-06
164.0,6.229347982519092e-06,4.51886446504e-06,7.47057723039e-06
